date,time,lowest_price_eur,sold_tickets,available_tickets
2026-06-30,11:24:42,323.69,1248,
2026-06-30,11:33:37,313.38,1248,
2026-06-30,11:38:19,318.80,1248,
2026-06-30,11:39:38,318.80,1248,
2026-06-30,12:05:07,323.69,1248,
2026-06-30,13:42:24,324.23,1255,
2026-06-30,13:58:54,313.38,1255,
2026-06-30,14:14:08,324.23,1256,
2026-06-30,15:11:07,324.23,1264,
2026-06-30,15:44:33,322.06,1265,
2026-06-30,15:59:47,324.23,1267,500
2026-06-30,16:15:00,318.80,1272,500
2026-06-30,16:31:06,324.23,1273,500
2026-06-30,19:26:41,324.23,1297,500
2026-06-30,21:22:52,318.80,1308,500
2026-06-30,23:17:22,313.38,1324,500
2026-07-01,00:53:19,312.29,1326,500
2026-07-01,02:16:47,313.38,1326,500
2026-07-01,07:08:50,286.25,1326,500
2026-07-01,12:48:01,,,
2026-07-01,13:02:02,,,
2026-07-01,15:36:12,318.80,1372,500
2026-07-01,18:30:24,324.23,1380,500
2026-07-01,21:01:58,328.57,1403,500
2026-07-01,23:41:25,327.48,1419,500
2026-07-02,01:21:02,328.57,1421,500
2026-07-02,06:04:15,318.80,1422,500
2026-07-02,10:15:11,326.40,1436,500
2026-07-02,13:38:47,328.57,1462,500
2026-07-02,16:17:35,324.23,1484,500
2026-07-02,18:55:05,324.23,1507,500
2026-07-02,20:39:41,329.65,1524,500
2026-07-02,22:23:07,318.80,1538,500
2026-07-03,00:13:06,318.80,1547,500
2026-07-03,02:12:38,329.65,1549,500
2026-07-03,06:47:39,329.65,1550,500
2026-07-03,10:14:03,328.57,1561,500
2026-07-03,13:37:11,329.65,1590,500
2026-07-03,16:22:18,318.80,1610,500
2026-07-03,18:39:51,329.65,1625,500
2026-07-03,20:16:54,329.65,1636,500
2026-07-03,22:18:56,329.65,1647,500
2026-07-04,00:09:55,329.65,1660,500
2026-07-04,02:11:22,329.65,1664,500
2026-07-04,06:39:46,329.65,1664,500
2026-07-04,09:51:23,328.57,1666,500
2026-07-04,12:17:50,324.23,1685,484
2026-07-04,14:10:20,329.65,1696,480
2026-07-04,16:41:31,329.64,1708,469
2026-07-04,18:08:38,329.65,1723,460
2026-07-04,20:06:45,328.57,1731,459
2026-07-04,22:12:40,318.80,1739,456
2026-07-05,00:03:28,333.99,1751,447
2026-07-05,02:06:15,333.99,1753,448
2026-07-05,07:01:43,333.99,1754,446
2026-07-05,11:14:17,333.99,1767,436
2026-07-05,13:39:21,329.65,1783,438
2026-07-05,15:52:53,335.08,1800,425
2026-07-05,17:17:47,329.65,1808,421
2026-07-05,19:18:14,328.57,1817,420
2026-07-05,21:26:54,324.23,1831,411
2026-07-05,23:09:09,329.65,1842,412
2026-07-06,01:06:51,324.23,1844,416
2026-07-06,06:07:27,324.23,1845,416
2026-07-06,11:04:47,324.23,1870,422
2026-07-06,15:52:07,329.65,1918,401
2026-07-06,18:55:07,329.65,1945,401
